job_id,user_id
job1,u1
job1,u21
job1,u36
job1,u51
job1,u60
job1,u74
job1,u81
job1,u90
job2,u2
job2,u22
job2,u37
job2,u52
job2,u75
job3,u3
job4,u4
job4,u24
job4,u76
job4,u96
job5,u5
job6,u6
job6,u80
job7,u7
job8,u8
job9,u9
job10,u10
job10,u56
job10,u66
job10,u87
job11,u11
job11,u86
job11,u98
job12,u12
job12,u23
job12,u27
job12,u45
job12,u57
job12,u65
job12,u83
job12,u95
job15,u15
job15,u30
job15,u38
job15,u45
job15,u82
job16,u16
job16,u31
job16,u42
job16,u61
job16,u69
job16,u91
job17,u17
job17,u26
job17,u41
job17,u70
job17,u78
job17,u92
job18,u18
job18,u33
job18,u48
job19,u19
job19,u34
job19,u49
job19,u79
job19,u93
job20,u20
job20,u32
job20,u35
job20,u47
job20,u50
job20,u73
job20,u100
job44,u68
job45,u58
job46,u39
job46,u54
job46,u72
job46,u84
job47,u13
job47,u28
job47,u43
job47,u62
job47,u88
job48,u71
job49,u14
job49,u25
job49,u40
job49,u55
job49,u59
job49,u89
job50,u63
job50,u99
job53,u29
job53,u44
job53,u53
job53,u64
job53,u77
job53,u85
job57,u64
job57,u97
job58,u29
job58,u44
job58,u67
job58,u94
